date,time,home_team,away_team,score,format
2025-04-1120:00,20:00,成都AG超玩会,北京WB,3:1,BO5
2025-04-1214:00,14:00,南通Hero久竞,济南RW侠,2:3,BO5
2025-04-1217:00,17:00,苏州KSG,长沙TES.A,1:3,BO5
2025-04-1220:00,20:00,广州TTG,武汉eStarPro,2:3,BO5
2025-04-1314:00,14:00,北京WB,佛山DRG,3:0,BO5
2025-04-1317:00,17:00,杭州LGD.NBW,上海EDG.M,2:3,BO5
2025-04-1320:00,20:00,成都AG超玩会,重庆狼队,3:0,BO5
2025-04-1617:00,17:00,长沙TES.A,济南RW侠,3:1,BO5
2025-04-1620:00,20:00,苏州KSG,广州TTG,3:0,BO5
2025-04-1717:00,17:00,武汉eStarPro,南通Hero久竞,3:0,BO5
2025-04-1720:00,20:00,杭州LGD.NBW,北京WB,0:3,BO5
2025-04-1817:00,17:00,重庆狼队,佛山DRG,3:0,BO5
2025-04-1820:00,20:00,成都AG超玩会,上海EDG.M,3:1,BO5
2025-04-1914:00,14:00,长沙TES.A,广州TTG,3:2,BO5
2025-04-1917:00,17:00,苏州KSG,南通Hero久竞,3:1,BO5
2025-04-1920:00,20:00,济南RW侠,武汉eStarPro,3:2,BO5
2025-04-2014:00,14:00,上海EDG.M,佛山DRG,2:3,BO5
2025-04-2017:00,17:00,北京WB,重庆狼队,3:0,BO5
2025-04-2020:00,20:00,成都AG超玩会,杭州LGD.NBW,3:2,BO5
2025-04-2419:00,19:00,济南RW侠,武汉eStarPro,4:1,BO7
2025-04-2519:00,19:00,长沙TES.A,苏州KSG,4:3,BO7
2025-04-2619:00,19:00,北京WB,重庆狼队,4:3,BO7
2025-04-2719:00,19:00,成都AG超玩会,上海EDG.M,4:0,BO7
2025-04-2819:00,19:00,济南RW侠,杭州LGD.NBW,4:1,BO7
2025-04-2919:00,19:00,长沙TES.A,佛山DRG,2:4,BO7
2025-04-3019:00,19:00,重庆狼队,济南RW侠,2:4,BO7
2025-05-0119:00,19:00,上海EDG.M,佛山DRG,2:4,BO7
2025-05-0219:00,19:00,成都AG超玩会,北京WB,4:2,BO7
2025-05-0319:00,19:00,佛山DRG,济南RW侠,4:0,BO7
2025-05-0419:00,19:00,北京WB,佛山DRG,1:4,BO7
2025-05-1018:00,18:00,成都AG超玩会,佛山DRG,4:1,BO7
